Hours_Studied,Attendance,Access_to_Resources_m,Motivation_Level_m
23,84,3,1
19,64,2,1
24,98,2,2
29,89,2,2
19,92,2,2
19,88,2,2
29,84,1,1
25,78,3,2
17,94,3,3
23,98,2,2
17,97,3,1
21,83,2,1
9,82,2,2
10,78,3,2
17,68,2,2
14,60,1,1
22,70,2,2
15,80,2,1
12,75,3,2
29,78,2,3
19,99,3,2
20,74,3,1
11,78,2,3
17,65,3,2
21,62,1,3
22,83,3,2
16,90,2,2
18,66,3,1
31,70,3,2
20,69,2,2
14,60,2,2
25,65,2,2
13,72,2,1
21,65,1,1
8,99,2,1
12,72,2,2
21,65,2,1
24,68,2,1
19,63,3,2
11,98,2,1
16,70,2,2
17,78,2,2
26,61,1,2
22,86,2,1
9,77,2,2
22,71,2,1
18,68,2,2
16,86,2,2
24,77,1,2
26,88,3,2
18,94,2,3
22,65,1,2
26,91,1,2
17,87,2,2
19,65,2,1
13,88,3,3
13,78,3,3
28,66,3,2
20,86,2,2
26,75,3,3
16,73,2,2
29,96,1,2
20,71,2,2
29,92,2,2
4,100,3,3
25,70,2,2
18,81,1,2
8,61,2,2
19,69,3,3
22,71,2,3
17,67,2,3
15,95,2,2
17,88,3,1
25,63,3,2
22,86,1,2
17,86,3,3
23,98,1,1
16,97,2,1
18,97,2,1
11,91,2,2
22,81,2,1
20,69,3,2
19,67,2,3
18,79,2,2
15,98,2,3
19,67,2,3
22,99,1,1
31,100,2,2
22,67,2,3
20,73,2,2
8,77,2,2
20,72,2,2
20,71,3,3
19,66,2,2
22,89,3,2
13,84,2,2
27,97,3,2
25,72,3,1
15,86,2,2
28,89,3,3
12,88,2,1
33,70,2,1
14,98,2,2
17,97,2,2
21,78,2,2
11,78,3,2
20,77,2,1
14,66,1,2
23,77,2,2
14,81,2,2
29,61,3,1
15,78,3,1
18,91,2,2
25,87,1,3
21,96,2,3
21,91,2,2
13,65,3,2
12,96,3,2
22,95,3,2
22,83,3,2
22,87,3,1
16,92,3,1
21,86,2,2
22,76,2,2
16,81,2,2
23,75,3,1
13,76,3,1
24,64,2,3
25,64,3,1
27,86,2,1
15,77,2,1
25,63,2,2
31,84,2,2
15,93,2,2
15,67,2,3
22,95,3,1
22,79,2,2
20,97,2,1
18,78,2,3
36,71,2,2
24,76,3,1
15,76,3,2
14,71,2,1
23,71,1,1
19,94,2,2
24,63,1,2
23,87,3,3
20,67,2,2
15,74,3,1
11,62,3,2
25,91,2,1
21,95,2,3
13,69,1,1
21,79,3,1
15,95,1,1
21,91,3,2
13,87,1,2
22,94,2,3
23,60,2,2
26,76,2,2
26,96,2,2
14,82,2,2
23,81,2,2
23,81,1,2
23,77,3,1
27,89,3,2
26,94,3,3
25,76,2,3
15,87,3,2
34,77,1,1
24,100,3,1
27,98,3,1
20,98,1,1
14,64,2,2
16,61,2,1
24,66,1,3
16,100,1,3
21,67,2,1
16,94,3,2
33,61,2,3
24,84,1,1
8,71,1,2
15,87,2,2
19,69,2,3
25,76,3,2
13,72,3,2
18,92,2,2
17,92,1,2
31,84,2,3
22,84,2,1
12,93,2,1
33,71,2,2
11,81,2,3
28,78,2,3
16,64,1,2
20,77,2,1
14,83,1,2
18,75,3,2
13,78,3,3
30,81,1,2
11,68,2,2
17,66,3,2
27,61,2,2
20,80,1,2
14,82,3,1
16,67,3,3
18,92,2,2
21,98,1,2
24,65,1,1
30,80,3,2
33,62,2,2
19,66,3,2
24,88,2,1
16,66,3,3
19,60,3,3
16,67,2,2
25,84,1,1
22,73,2,1
25,73,1,2
22,63,1,2
24,68,2,2
15,77,2,3
24,71,2,2
16,84,3,2
23,79,3,2
19,97,2,3
27,93,1,3
25,73,3,1
25,69,3,2
28,71,2,3
20,80,3,2
24,90,1,2
18,80,2,1
19,89,2,2
21,92,1,1
24,72,3,3
15,87,1,3
33,77,3,2
13,94,2,1
25,88,2,1
24,95,3,3
24,80,3,3
20,73,2,1
15,90,2,2
20,69,3,1
26,95,3,2
19,89,2,2
15,76,2,1
18,69,3,1
22,74,3,1
17,71,2,1
15,67,2,2
21,70,3,2
17,78,3,2
12,63,3,1
16,64,2,1
19,84,2,3
29,77,3,2
19,62,2,1
20,81,2,2
14,80,2,2
20,66,2,3
18,64,2,3
23,84,2,1
29,68,3,2
22,67,2,1
24,98,2,2
18,94,3,1
21,69,3,2
20,73,2,2
21,68,1,1
20,61,2,2
23,87,3,2
29,81,2,2
33,67,2,3
15,92,1,1
25,92,2,2
33,76,2,1
15,67,2,1
15,70,2,2
16,71,2,2
7,82,3,2
17,76,3,3
15,98,2,1
21,65,2,3
22,99,1,1
31,69,1,2
26,91,2,2
12,72,1,3
31,86,3,2
27,83,1,2
17,79,1,1
28,89,3,3
19,64,2,2
27,87,2,2
16,62,2,1
20,66,3,2
20,89,2,2
14,65,2,1
19,80,2,2
21,65,3,1
23,79,2,2
24,91,2,1
13,70,3,2
11,79,2,2
28,100,1,2
22,87,2,1
16,94,2,1
29,77,1,1
21,91,2,2
20,65,1,1
32,68,1,3
31,76,3,2
19,94,2,2
26,74,1,1
24,86,3,2
28,88,2,2
14,83,2,2
24,74,2,2
9,74,3,1
13,63,2,2
8,100,2,2
29,95,1,2
20,72,1,1
12,73,2,2
20,70,2,2
20,76,1,2
12,98,2,2
24,62,2,3
22,80,2,2
14,83,1,2
17,97,3,3
14,62,3,1
26,94,2,1
15,89,2,2
19,97,1,2
17,78,2,1
32,97,3,2
16,61,1,3
21,88,2,3
19,79,3,1
19,65,3,2
24,69,3,1
25,63,2,2
18,80,1,2
6,93,2,3
30,61,3,2
19,88,1,2
23,77,3,2
27,74,3,2
14,65,2,2
21,60,3,1
15,97,2,2
11,65,3,2
14,73,2,2
25,69,2,3
29,78,2,2
20,61,1,2
15,73,1,2
29,92,2,3
23,88,2,2
14,89,3,2
19,88,2,2
15,72,3,2
12,64,1,3
26,71,1,1
31,93,1,2
12,99,2,1
17,66,3,1
16,73,2,2
15,83,1,2
20,63,1,1
15,98,3,1
22,75,2,1
20,97,3,2
19,91,1,2
15,90,1,1
17,84,1,3
25,85,3,3
23,86,2,1
14,85,2,1
25,99,2,3
10,89,1,1
23,91,2,3
16,95,1,1
15,63,1,1
9,79,1,3
22,78,2,1
24,81,1,2
10,62,1,3
20,85,2,3
13,93,1,3
16,66,2,3
20,84,3,3
15,84,3,1
18,67,1,1
26,65,2,1
17,99,3,2
23,67,2,2
29,87,3,3
23,64,2,3
22,76,1,2
16,73,1,2
27,95,2,3
22,97,3,2
22,72,2,2
17,91,2,3
17,83,2,1
32,93,2,3
25,60,3,2
18,83,3,2
18,73,1,2
8,86,3,3
14,94,2,2
9,84,1,3
18,94,2,2
20,71,2,2
30,81,3,1
22,78,3,2
25,82,3,2
7,86,1,2
21,84,3,2
25,89,2,3
11,83,1,2
27,63,3,1
22,65,2,1
24,71,1,2
34,63,3,1
21,82,1,3
17,73,2,3
15,89,2,1
25,86,2,1
15,73,3,1
20,90,2,3
17,86,2,1
23,85,1,1
22,82,2,1
26,60,2,3
18,75,2,2
17,93,1,2
22,84,2,2
14,68,2,2
28,79,2,2
22,72,2,1
31,81,2,1
15,67,3,3
13,99,2,2
9,64,2,2
29,97,2,2
24,97,1,1
20,81,1,1
22,89,3,2
13,77,2,2
35,85,3,3
21,74,1,1
21,72,2,1
24,83,3,1
21,83,2,1
23,75,3,1
31,63,3,1
30,70,2,2
17,63,2,2
14,64,3,1
19,93,3,2
20,62,2,3
27,86,2,1
10,71,2,3
17,72,3,1
10,75,2,2
12,100,2,2
12,77,2,2
18,74,2,2
30,88,2,2
11,93,2,1
19,78,3,2
4,64,3,2
20,94,2,2
19,89,2,2
31,66,3,1
27,73,2,1
18,99,3,1
13,70,2,2
35,78,1,2
20,61,1,1
20,76,3,1
20,83,2,2
21,98,2,1
19,81,3,1
17,93,2,2
17,82,1,1
20,62,1,3
17,73,2,2
16,83,2,2
21,98,3,1
18,94,2,1
29,69,3,1
27,68,2,2
27,97,3,1
8,94,1,3
18,91,3,3
18,76,3,2
15,79,2,1
13,70,2,2
31,80,3,1
26,61,2,3
24,95,1,2
13,90,2,2
17,77,2,1
23,81,1,2
13,75,3,3
24,90,2,1
19,91,1,2
18,91,2,2
24,89,3,2
18,74,1,3
27,79,1,1
14,73,1,1
24,73,2,2
18,66,2,2
22,76,2,3
26,69,2,2
19,84,3,1
26,63,3,2
12,88,2,2
11,81,3,2
31,63,3,1
30,75,2,3
21,83,2,3
19,92,2,2
17,73,3,2
22,89,2,2
20,65,3,2
21,66,2,2
21,92,2,1
20,89,2,2
10,81,1,1
12,82,2,3
19,79,3,2
20,84,2,1
22,99,2,3
15,94,2,1
21,96,3,2
22,86,2,3
10,96,2,2
26,76,2,1
23,98,2,3
22,77,2,2
26,98,1,3
9,70,2,1
12,90,3,1
16,81,2,2
20,71,1,3
23,91,3,1
16,82,3,1
21,86,1,2
15,73,3,2
16,79,2,2
12,85,3,3
14,76,2,1
12,68,3,2
26,80,1,2
36,76,2,2
23,74,1,1
21,76,2,2
15,76,3,2
24,82,2,2
17,82,2,2
21,80,2,2
35,65,2,3
27,67,2,2
16,65,3,1
31,76,2,2
24,91,1,3
26,75,2,1
24,98,1,3
19,67,2,2
24,71,3,2
12,94,3,2
25,69,2,2
23,92,2,2
10,60,2,2
21,76,3,2
22,65,2,1
14,88,2,2
26,89,1,2
20,89,3,2
20,93,2,1
17,61,1,2
21,97,2,2
17,93,2,3
18,64,1,1
21,90,2,1
17,98,3,1
28,87,1,2
15,83,2,2
17,78,3,2
29,84,2,2
21,79,2,1
11,63,2,3
22,80,2,3
25,87,3,1
20,92,1,1
26,83,1,2
17,96,2,2
28,98,2,2
34,63,3,2
18,76,3,2
17,61,2,3
29,73,2,2
29,81,2,1
17,96,2,2
17,94,2,1
18,65,2,2
14,84,2,2
14,81,2,1
14,96,3,1
26,75,2,2
20,79,1,1
13,97,3,2
21,89,2,1
22,61,1,3
16,80,2,2
